Éí¸ß	ÌåÖØ	ÁìÎ§	Ðä³¤	¼ç¿í	ÐØÎ§	ÖÐÑü	¿ã³¤	Ðä·Ê	¿ãÑü	ÍÎÎ§	´óÍÈÎ§	ÒÂ³¤	Ö±µµ	Ðä¿Ú
175	71	39.3	62.5	46.9	98.5	88.3	102	32.1	88.9	98	55.4	74.8	64.8	18.1
175	72	39.4	62.5	47.1	99.1	89.1	102	32.3	89.5	98.6	55.8	74.9	65	18.1
175	73	39.6	62.5	47.3	99.8	89.8	102	32.6	90	99.1	56.2	75	65.3	18.2
175	74	39.8	62.5	47.5	100.4	90.6	102	32.8	90.6	99.7	56.6	75.1	65.5	18.2
175	75	39.9	62.5	47.7	101	91.3	102	33	91.2	100.3	57	75.2	65.8	18.3
175	76	40.1	62.5	47.8	101.7	92.1	102	33.3	91.8	100.9	57.4	75.3	66	18.4
175	77	40.2	62.5	48	102.3	92.9	102	33.5	92.3	101.5	57.8	75.4	66.3	18.4
175	78	40.4	62.5	48.2	103	93.6	101.9	33.7	92.9	102	58.1	75.5	66.5	18.5
175	79	40.5	62.4	48.4	103.6	94.4	101.9	34	93.5	102.6	58.5	75.6	66.8	18.5
175	80	40.7	62.4	48.5	104.2	95.2	101.9	34.2	94.1	103.2	58.9	75.7	67	18.6
175	81	40.8	62.4	48.7	104.9	95.9	101.9	34.4	94.6	103.8	59.3	75.8	67.3	18.6
175	82	41	62.4	48.9	105.5	96.7	101.9	34.7	95.2	104.4	59.7	75.9	67.5	18.7
175	83	41.1	62.4	49.1	106.1	97.4	101.9	34.9	95.8	104.9	60.1	76	67.8	18.8
175	84	41.3	62.4	49.3	106.8	98.2	101.9	35.1	96.4	105.5	60.5	76.1	68	18.8
175	85	41.4	62.4	49.4	107.4	99	101.9	35.4	96.9	106.1	60.8	76.2	68.3	18.9
175	86	41.6	62.4	49.6	108	99.7	101.9	35.6	97.5	106.7	61.2	76.3	68.5	18.9
175	87	41.7	62.4	49.8	108.7	100.5	101.9	35.8	98.1	107.3	61.6	76.4	68.8	19
175	88	41.9	62.4	50	109.3	101.3	101.8	36.1	98.7	107.9	62	76.5	69	19
175	89	42	62.3	50.2	109.9	102	101.8	36.3	99.2	108.4	62.4	76.6	69.3	19.1
175	90	42.2	62.3	50.3	110.6	102.8	101.8	36.5	99.8	109	62.8	76.7	69.5	19.1
175	91	42.3	62.3	50.5	111.2	103.6	101.8	36.8	100.4	109.6	63.2	76.8	69.8	19.2
175	92	42.5	62.3	50.7	111.9	104.3	101.8	37	100.9	110.2	63.5	76.9	70	19.3
175	93	42.6	62.3	50.9	112.5	105.1	101.8	37.2	101.5	110.8	63.9	77	70.3	19.3
175	94	42.8	62.3	51	113.1	105.8	101.8	37.4	102.1	111.3	64.3	77.1	70.5	19.4
175	95	42.9	62.3	51.2	113.8	106.6	101.8	37.7	102.7	111.9	64.7	77.2	70.8	19.4
175	96	43.1	62.3	51.4	114.4	107.4	101.8	37.9	103.2	112.5	65.1	77.3	71	19.5
175	97	43.2	62.3	51.6	115	108.1	101.8	38.1	103.8	113.1	65.5	77.4	71.3	19.5
175	98	43.4	62.2	51.8	115.7	108.9	101.8	38.4	104.4	113.7	65.9	77.5	71.5	19.6
175	99	43.5	62.2	51.9	116.3	109.7	101.7	38.6	105	114.2	66.2	77.6	71.8	19.7
175	100	43.7	62.2	52.1	116.9	110.4	101.7	38.8	105.5	114.8	66.6	77.7	72	19.7
175	101	43.8	62.2	52.3	117.6	111.2	101.7	39.1	106.1	115.4	67	77.8	72.3	19.8
175	102	44	62.2	52.5	118.2	111.9	101.7	39.3	106.7	116	67.4	77.9	72.5	19.8
175	103	44.1	62.2	52.6	118.8	112.7	101.7	39.5	107.3	116.6	67.8	78	72.8	19.9
175	104	44.3	62.2	52.8	119.5	113.5	101.7	39.8	107.8	117.1	68.2	78.1	73	19.9
